Time,Open,High,Low,Close,Volume
2026-06-12 10:00:00,62976.8,63213.65,62930.7,63091.2,1662
2026-06-12 11:00:00,63092.9,63613.7,63086.2,63461.0,1805
2026-06-12 12:00:00,63458.6,63957.2,63422.2,63747.3,1800
2026-06-12 13:00:00,63742.5,63847.1,63578.0,63688.9,1683
2026-06-12 14:00:00,63693.1,63884.5,63672.3,63751.4,1568
2026-06-12 15:00:00,63747.8,63768.4,63366.6,63450.7,2059
2026-06-12 16:00:00,63452.6,63527.1,63046.0,63225.4,3599
2026-06-12 17:00:00,63234.0,63999.1,63192.6,63992.7,4635
2026-06-12 18:00:00,63996.3,64385.9,63540.8,63581.8,4576
2026-06-12 19:00:00,63585.2,63989.8,63495.9,63969.6,3371
2026-06-12 20:00:00,63974.7,64104.25,63723.8,63853.9,2138
2026-06-12 21:00:00,63857.4,63924.1,63667.2,63674.1,1899
2026-06-12 22:00:00,63676.1,63811.6,63569.6,63571.7,1298
2026-06-12 23:00:00,63578.15,63685.2,63381.9,63435.2,964
2026-06-13 00:00:00,63437.2,63616.0,63423.8,63467.4,726
2026-06-13 01:00:00,63468.6,63649.6,63454.1,63494.6,873
2026-06-13 02:00:00,63494.5,63575.6,63413.3,63564.2,686
2026-06-13 03:00:00,63560.3,63637.4,63499.4,63590.9,742
2026-06-13 04:00:00,63594.0,63835.5,63593.0,63822.7,834
2026-06-13 05:00:00,63822.7,63822.7,63535.9,63633.1,659
2026-06-13 06:00:00,63635.1,63711.1,63423.9,63517.3,628
2026-06-13 07:00:00,63514.9,63636.7,63471.7,63498.2,509
2026-06-13 08:00:00,63498.2,63595.4,63478.6,63576.8,589
2026-06-13 09:00:00,63574.8,63732.5,63540.3,63721.9,558
2026-06-13 10:00:00,63723.9,63877.2,63676.2,63838.3,357
2026-06-13 11:00:00,63838.3,63906.3,63751.2,63796.9,677
2026-06-13 12:00:00,63796.9,63856.9,63730.9,63734.8,507
2026-06-13 13:00:00,63740.5,63902.8,63721.0,63833.6,545
2026-06-13 14:00:00,63835.2,63960.7,63829.1,63957.9,580
2026-06-13 15:00:00,63956.7,64207.2,63909.9,64124.2,716
2026-06-13 16:00:00,64126.3,64239.3,64031.4,64082.2,1219
2026-06-13 17:00:00,64082.2,64226.7,64068.5,64214.1,657
2026-06-13 18:00:00,64215.3,64336.2,64174.8,64287.4,897
2026-06-13 19:00:00,64289.2,64300.7,63893.2,64009.8,1518
2026-06-13 20:00:00,64008.3,64108.3,63926.4,63965.2,800
2026-06-13 21:00:00,63963.3,64269.8,63963.3,64143.7,768
2026-06-13 22:00:00,64143.7,64320.7,64131.5,64286.9,640
2026-06-13 23:00:00,64286.9,64286.9,64218.3,64275.1,456
2026-06-14 00:00:00,64275.1,64751.2,64203.0,64456.7,1275
2026-06-14 01:00:00,64455.9,64544.3,64369.2,64436.8,830
